Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
265,Damion Baugh,24,CHO,SG,12,2,25.3,3.0,9.1,.330,0.8,3.8,.222,2.2,5.3,.406,.376,0.9,1.1,.846,0.8,2.2,3.0,3.8,1.2,0.1,1.9,1.7,7.8,,,,,,,,,,
266,Justin Champagnie,23,WAS,SF,56,25,20.2,3.0,6.0,.494,1.1,2.9,.369,1.9,3.2,.607,.581,0.8,1.2,.692,1.6,3.6,5.3,1.0,1.0,0.6,0.8,1.7,7.8,,,,,,,,,,
269,Davion Mitchell,26,2TM,PG,68,36,27.0,2.9,6.2,.463,1.1,2.8,.401,1.7,3.4,.515,.555,0.7,1.0,.667,0.5,1.7,2.2,4.8,0.9,0.2,1.8,2.5,7.5,217,Davion Mitchell,MIA,"$6,451,077",,,,,,"$6,451,077"
269,Davion Mitchell,26,TOR,PG,44,22,24.5,2.4,5.5,.434,1.0,2.7,.359,1.5,2.9,.504,.520,0.6,0.8,.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3,217,Davion Mitchell,MIA,"$6,451,077",,,,,,"$6,451,077"
269,Davion Mitchell,26,MIA,PG,24,14,31.6,3.7,7.4,.503,1.5,3.1,.467,2.3,4.3,.529,.602,0.9,1.3,.656,0.7,2.0,2.6,5.0,1.3,0.3,1.7,2.3,9.8,217,Davion Mitchell,MIA,"$6,451,077",,,,,,"$6,451,077"
271,Dalano Banton,25,POR,PG,61,1,15.0,2.6,6.6,.403,1.0,2.9,.354,1.6,3.7,.440,.480,1.2,1.7,.718,0.4,1.5,1.9,2.2,0.7,0.5,1.1,0.8,7.5,352,Dalano Banton,POR,"$2,196,970",,,,,,"$2,019,706"
272,KJ Simpson,22,CHO,PG,30,9,22.1,2.7,7.9,.338,0.9,3.5,.250,1.8,4.4,.406,.392,1.3,1.6,.830,1.1,1.8,3.0,2.9,0.8,0.2,1.5,1.6,7.5,,,,,,,,,,
277,Garrison Mathews,28,ATL,SG,46,2,17.2,2.1,5.4,.395,1.8,4.6,.389,0.3,0.8,.432,.560,1.4,1.7,.818,0.3,1.5,1.8,1.3,0.6,0.3,0.6,1.7,7.4,348,Garrison Mathews,ATL,"$2,230,253",,,,,,"$2,230,253"
279,Tre Jones,25,2TM,PG,46,9,19.7,2.8,5.2,.538,0.4,1.0,.396,2.4,4.1,.574,.578,1.2,1.5,.821,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2,179,Tre Jones,CHI,"$9,104,167",,,,,,"$9,104,167"
279,Tre Jones,25,SAS,PG,28,0,16.1,1.6,3.3,.484,0.3,0.9,.308,1.3,2.4,.552,.527,0.9,1.2,.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,179,Tre Jones,CHI,"$9,104,167",,,,,,"$9,104,167"
279,Tre Jones,25,CHI,PG,18,9,25.3,4.6,8.1,.572,0.6,1.2,.500,4.0,6.8,.585,.610,1.7,1.9,.882,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,11.5,179,Tre Jones,CHI,"$9,104,167",,,,,,"$9,104,167"
280,Jared Rhoden,25,2TM,SG,11,2,14.8,2.5,5.7,.429,0.8,2.6,.310,1.6,3.1,.529,.500,1.5,1.7,.842,1.0,1.7,2.7,0.8,0.6,0.2,0.6,1.2,7.2,,,,,,,,,,
280,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,,,,,,,,,,
280,Jared Rhoden,25,TOR,SG,7,2,21.6,3.6,7.9,.455,1.3,3.9,.333,2.3,4.0,.571,.536,2.3,2.7,.842,1.3,2.4,3.7,1.0,0.9,0.3,0.9,1.7,10.7,,,,,,,,,,
283,Bol Bol,25,PHO,PF,34,10,13.0,2.8,5.4,.525,0.9,2.7,.344,1.9,2.6,.711,.612,0.6,0.8,.769,0.6,2.5,3.0,0.6,0.3,0.7,0.6,0.6,7.2,377,Bol Bol,PHO,"$2,087,519",,,,,,"$2,087,519"
